"","TCGA-HU-A4GX-11A-11R-A252-13","TCGA-BR-7704-11A-01R-2055-13","TCGA-IN-AB1X-11A-21R-A39F-13","TCGA-CG-5733-11A-01R-1602-13","TCGA-BR-7716-11A-01R-2055-13","TCGA-CG-5730-11A-01R-1602-13","TCGA-HU-A4GY-11A-11R-A24L-13","TCGA-BR-8060-11A-01R-2343-13","TCGA-BR-6564-11A-01R-1884-13","TCGA-HU-A4GX-11X-11R-A360-13","TCGA-HU-A4G9-11A-11R-A360-13","TCGA-HU-A4GY-11X-11R-A360-13","TCGA-CG-5722-11A-02R-1602-13","TCGA-BR-6458-11A-01R-1802-13","TCGA-CG-5728-11A-01R-1602-13","TCGA-BR-6852-11A-01R-1884-13","TCGA-SW-A7EA-11A-11R-A353-13","TCGA-HU-A4GP-11A-21R-A252-13","TCGA-HU-A4G9-11X-11R-A24L-13","TCGA-CG-5730-01A-11R-1602-13","TCGA-BR-7704-01A-11R-2055-13","TCGA-HU-A4G9-01A-11R-A24L-13","TCGA-BR-8060-01A-11R-2343-13","TCGA-HU-A4GP-01A-11R-A252-13","TCGA-BR-6564-01A-12R-1884-13","TCGA-BR-7716-01A-21R-2055-13","TCGA-HU-A4GY-01A-21R-A24L-13","TCGA-CG-5722-01A-21R-1602-13","TCGA-SW-A7EA-01A-12R-A353-13","TCGA-CG-5733-01A-11R-1602-13","TCGA-CG-5728-01A-11R-1602-13","TCGA-BR-6458-01A-11R-1802-13","TCGA-HU-A4GX-01A-12R-A252-13","TCGA-IN-AB1X-01A-11R-A39F-13","TCGA-BR-6852-01A-11R-1884-13"
"hsa-mir-7161","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"hsa-mir-7162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"hsa-mir-744","31","59","109","68","26","206","30","36","145","50","142","28","369","70","69","133","107","47","53","245","48","26","159","14","94","54","58","173","132","148","246","123","32","98","98"
"hsa-mir-7515","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-758","25","64","44","23","30","35","25","45","129","20","84","20","91","38","41","49","55","36","80","48","64","2","30","8","229","16","114","53","131","53","203","163","15","32","41"
"hsa-mir-759","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-760","0","4","0","1","1","1","0","1","3","2","5","0","1","0","1","1","3","0","2","17","3","0","23","0","5","1","1","6","10","10","13","1","0","7","8"
"hsa-mir-761","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-762","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-764","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-7641-1","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","9","1","0","0","0","0","0","0","1","2","0","1","0","0","1","0"
"hsa-mir-7641-2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"hsa-mir-765","0","0","0","0","0","0","1","0","2","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","1","0","0","1","0"
"hsa-mir-766","27","16","11","33","7","35","32","15","70","24","59","33","221","35","45","35","118","44","31","88","37","3","22","4","82","9","32","49","20","27","60","67","10","29","67"
