"","TCGA-HU-A4GH-11A-11R-A360-13","TCGA-CG-5721-11A-01R-1602-13","TCGA-IP-7968-11A-01R-2203-13","TCGA-HU-A4GN-11A-12R-A252-13","TCGA-HU-A4G3-11A-11R-A24L-13","TCGA-FP-7735-11A-01R-2055-13","TCGA-FP-7829-11A-01R-2055-13","TCGA-HU-8238-11A-01R-2343-13","TCGA-CG-5720-11A-01R-1602-13","TCGA-IN-7806-11A-01R-2055-13","TCGA-HU-A4HB-11A-11R-A252-13","TCGA-BR-7715-11A-01R-2055-13","TCGA-BR-7703-11A-01R-2055-13","TCGA-BR-6802-11A-01R-1884-13","TCGA-IN-AB1V-11A-11R-A415-13","TCGA-BR-7851-11A-01R-2203-13","TCGA-BR-7717-11A-01R-2055-13","TCGA-BR-6457-11A-01R-1802-13","TCGA-HU-A4GH-11X-11R-A24L-13","TCGA-CG-5734-11A-01R-1602-13","TCGA-IN-8462-11A-01R-2343-13","TCGA-BR-6453-11A-01R-1802-13","TCGA-IN-8663-11A-01R-2402-13","TCGA-CG-5725-11A-01R-1602-13","TCGA-HU-A4GC-11A-11R-A252-13","TCGA-BR-6454-11A-01R-1802-13","TCGA-CG-5720-01A-11R-1602-13","TCGA-FP-7735-01A-11R-2055-13","TCGA-HU-8238-01A-11R-2343-13","TCGA-BR-7703-01A-11R-2055-13","TCGA-IP-7968-01A-11R-2203-13","TCGA-CG-5725-01A-11R-1602-13","TCGA-HU-A4GN-01A-11R-A252-13","TCGA-HU-A4HB-01A-12R-A252-13","TCGA-BR-6453-01A-11R-1802-13","TCGA-BR-6802-01A-11R-1884-13","TCGA-IN-8462-01A-11R-2343-13","TCGA-BR-7715-01A-11R-2055-13","TCGA-IN-7806-01A-11R-2055-13","TCGA-HU-A4GH-01A-11R-A24L-13","TCGA-CG-5734-01A-11R-1602-13","TCGA-IN-AB1V-01A-21R-A415-13","TCGA-BR-7851-01A-11R-2203-13","TCGA-BR-6454-01A-11R-1802-13","TCGA-BR-6457-01A-21R-1802-13","TCGA-FP-7829-01A-11R-2055-13","TCGA-HU-A4G3-01A-11R-A24L-13","TCGA-CG-5721-01A-11R-1602-13","TCGA-HU-A4GC-01A-12R-A252-13","TCGA-IN-8663-01A-11R-2402-13","TCGA-BR-7717-01A-11R-2055-13"
"hsa-mir-1255a","1","4","0","0","0","0","0","1","0","0","0","2","2","2","0","2","1","2","0","1","0","3","1","0","0","4","4","4","2","1","4","0","3","1","7","5","0","2","1","1","5","6","3","6","1","0","0","10","2","5","2"
"hsa-mir-1255b-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1255b-2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1256","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","2","0","0","0","0","1","0","0","0","1","0"
"hsa-mir-1257","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0"
"hsa-mir-1258","19","4","1","1","6","8","15","4","4","5","27","3","0","34","7","4","2","2","9","8","2","4","7","106","5","21","2","0","0","1","0","3","1","0","16","0","5","3","2","0","3","3","1","18","11","1","0","14","1","0","0"
"hsa-mir-125a","3354","3932","1069","2087","3712","2026","1621","586","2435","402","2312","679","357","4193","2840","842","805","2951","3394","3380","557","3781","2530","17436","3052","3071","2028","1614","372","534","543","1546","699","1170","2468","1539","1247","1399","1408","1741","1880","2214","611","3520","3419","369","537","3220","803","744","684"
"hsa-mir-125b-1","2548","1243","1014","1680","1776","2329","1650","334","762","448","1356","424","115","1676","2057","504","852","1200","1994","1759","622","2419","2127","11667","1902","2094","1133","939","209","372","294","639","279","376","3940","790","984","1488","1246","94","776","1929","486","2520","4014","313","233","1588","411","1221","561"
"hsa-mir-125b-2","2703","1163","1095","1767","1832","2364","1797","335","800","570","1485","398","122","1754","2235","537","953","1217","2087","1772","727","2503","2406","11736","1913","2001","1265","1003","241","409","308","690","296","395","4227","771","1041","1630","1408","105","802","2070","488","2627","3983","388","248","1538","423","1232","550"
"hsa-mir-126","5070","30255","3200","2102","2788","1428","2558","5180","15618","1357","1746","1758","2160","27886","7147","3861","1987","20989","5034","29504","2458","17385","6293","29304","2474","11523","20455","5126","3262","4216","5173","14149","8373","6850","22569","23426","4844","4194","4379","4964","34293","9731","2843","24817","19022","3453","4918","26320","5158","5251","1963"
"hsa-mir-1260a","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1260b","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1261","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1262","4","4","0","3","9","7","16","0","2","4","6","1","2","9","4","2","7","5","7","5","3","3","11","35","2","8","10","4","1","3","2","5","1","3","4","5","5","5","19","6","3","2","0","1","2","5","1","2","2","2","0"
"hsa-mir-1263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1265","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-1266","4","57","5","4","3","2","6","35","69","2","3","37","32","334","10","8","14","43","2","74","6","79","10","22","3","84","64","60","26","32","44","129","121","42","155","234","60","84","56","70","109","72","26","155","35","110","43","70","42","37","30"
"hsa-mir-1267","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
