"","TCGA-DD-A3A1-11A-11R-A214-13","TCGA-EP-A12J-11A-11R-A130-13","TCGA-DD-A39V-11A-11R-A214-13","TCGA-DD-A11A-11A-11R-A130-13","TCGA-DD-A11C-11A-11R-A130-13","TCGA-DD-A116-11A-12R-A25G-13","TCGA-DD-A3A3-11A-11R-A22J-13","TCGA-BC-A10T-11A-11R-A130-13","TCGA-BC-A10W-11A-11R-A130-13","TCGA-DD-A119-11A-11R-A130-13","TCGA-BC-A10Y-11A-11R-A130-13","TCGA-DD-A11B-11A-11R-A130-13","TCGA-DD-A1EG-11A-11R-A214-13","TCGA-DD-A3A8-11A-11R-A22J-13","TCGA-DD-A3A4-11A-11R-A22J-13","TCGA-EP-A26S-11A-12R-A16S-13","TCGA-ES-A2HT-11A-11R-A17X-13","TCGA-FV-A2QR-11A-11R-A214-13","TCGA-DD-A1EL-11A-11R-A154-13","TCGA-DD-A1EH-11A-11R-A130-13","TCGA-BC-A10U-11A-11R-A130-13","TCGA-DD-A114-11A-12R-A130-13","TCGA-DD-A1EE-11A-11R-A130-13","TCGA-G3-A3CH-11A-11R-A22J-13","TCGA-DD-A1EI-11A-11R-A130-13","TCGA-BD-A2L6-11A-21R-A214-13","TCGA-EP-A3RK-11A-11R-A22J-13","TCGA-W5-AA2Q-11A-11R-A41D-13","TCGA-W5-AA2I-11A-11R-A41D-13","TCGA-ZU-A8S4-11A-11R-A41D-13","TCGA-W5-AA31-11A-11R-A41D-13","TCGA-W5-AA30-11A-11R-A41D-13","TCGA-EP-A12J-01A-11R-A130-13","TCGA-EP-A3RK-01A-11R-A22J-13","TCGA-DD-A1EH-01A-11R-A130-13","TCGA-DD-A3A8-01A-11R-A22J-13","TCGA-DD-A3A4-01A-11R-A22J-13","TCGA-EP-A26S-01A-11R-A16S-13","TCGA-DD-A114-01A-11R-A130-13","TCGA-DD-A119-01A-11R-A130-13","TCGA-BC-A10W-01A-11R-A130-13","TCGA-DD-A1EG-01A-11R-A214-13","TCGA-DD-A3A3-01A-11R-A22J-13","TCGA-DD-A11B-01A-11R-A130-13","TCGA-DD-A116-01A-11R-A130-13","TCGA-DD-A11A-01A-11R-A130-13","TCGA-BC-A10Y-01A-11R-A130-13","TCGA-BC-A10T-01A-11R-A130-13","TCGA-BD-A2L6-01A-11R-A214-13","TCGA-DD-A39V-01A-11R-A214-13","TCGA-DD-A3A1-01A-11R-A214-13","TCGA-FV-A2QR-01A-11R-A214-13","TCGA-DD-A1EE-01A-11R-A130-13","TCGA-G3-A3CH-01A-11R-A22J-13","TCGA-ES-A2HT-01A-12R-A17X-13","TCGA-DD-A1EL-01A-11R-A154-13","TCGA-DD-A11C-01A-11R-A130-13","TCGA-BC-A10U-01A-11R-A130-13","TCGA-DD-A1EI-01A-11R-A130-13","TCGA-ZU-A8S4-01A-11R-A41D-13","TCGA-W5-AA2Q-01A-11R-A41D-13","TCGA-W5-AA30-01A-31R-A41D-13","TCGA-W5-AA31-01A-11R-A41D-13","TCGA-W5-AA2I-01A-32R-A41D-13"
"hsa-mir-513b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"hsa-mir-513c","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","14","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"hsa-mir-514a-1","0","2","0","1","0","1","1","2","0","0","1","1","1","1","90","0","0","7","3","1","0","0","2","0","1","0","1","0","1","3","0","3","62","31","2","5","1","9","18","1","0","6","5","40","23","11","6","11","0","12","5","6","0","1","0","0","7","21","5","1","1","2","0","3"
"hsa-mir-514a-2","0","3","0","0","2","1","0","2","0","0","0","0","1","0","120","0","0","11","2","1","1","1","2","2","1","2","0","0","0","4","0","16","64","36","3","4","1","6","14","1","1","3","5","48","13","5","5","8","1","10","3","2","0","3","0","0","10","30","10","1","0","0","1","0"
"hsa-mir-514a-3","0","4","0","0","0","0","1","3","0","0","2","1","0","0","112","0","0","10","0","1","0","2","6","0","1","0","0","0","0","2","0","14","55","45","6","6","1","9","14","1","0","4","3","48","20","10","1","11","0","14","2","6","1","2","0","2","10","26","9","0","1","0","1","0"
"hsa-mir-514b","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"hsa-mir-515-1","0","0","0","0","0","1","1","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","0","0","0","3","3","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","3"
"hsa-mir-515-2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","57","0","1","0","2","0","1","0","0","0","0","0","1","0","14","0","0","0","0","0","2","0","2"
"hsa-mir-516a-1","0","0","0","1","0","3","1","0","0","0","0","0","0","5","0","0","1","0","2","0","0","0","0","3","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","274","1","0","0","8","2","8","0","1","0","0","2","0","0","60","4","0","0","0","0","3","0","5"
"hsa-mir-516a-2","1","0","0","2","0","2","5","1","0","0","0","4","0","8","2","0","1","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","220","0","0","0","5","0","1","0","0","0","1","0","0","1","47","2","0","0","0","4","4","0","3"
"hsa-mir-516b-1","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","163","0","0","0","0","2","1","0","0","0","0","0","0","0","38","3","0","0","1","0","2","0","7"
"hsa-mir-516b-2","0","0","0","0","0","2","2","1","0","0","1","0","0","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","1","1","0","0","0","0","1"
"hsa-mir-517a","0","0","0","0","0","8","20","0","0","0","0","0","1","44","0","0","0","0","6","0","0","0","0","8","0","0","7","0","0","0","0","0","0","0","1","0","0","7","0","1","0","454","0","2","0","9","12","0","1","0","1","0","1","2","0","60","6","2","0","2","0","15","1","12"
"hsa-mir-517b","0","0","0","0","0","8","20","0","0","0","0","0","1","44","0","0","0","0","6","0","0","0","0","8","0","0","7","0","0","0","0","0","0","0","1","0","0","7","0","1","0","450","0","2","0","9","12","0","1","0","1","0","1","2","0","59","6","2","0","2","0","15","1","12"
"hsa-mir-517c","0","0","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152","0","0","0","3","6","0","0","2","1","0","0","1","0","17","1","1","0","0","0","1","1","3"
"hsa-mir-5186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"hsa-mir-5187","3","4","2","2","1","0","1","1","2","5","0","2","1","1","2","5","0","1","1","1","3","4","0","3","0","2","0","2","0","2","0","0","2","1","19","2","1","3","8","7","14","7","7","6","4","6","5","4","5","5","5","17","2","2","1","3","2","6","6","0","4","1","1","3"
"hsa-mir-5188","0","1","1","0","0","0","0","0","1","1","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","1","0","1","0","0","0","0","2","1","0","0","0","0","0","0"
"hsa-mir-5189","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"hsa-mir-518a-1","0","0","0","0","0","1","2","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","173","0","0","0","3","0","1","0","0","0","0","0","0","0","16","1","0","0","0","0","0","0","0"
"hsa-mir-518a-2","0","0","0","0","0","0","3","0","0","0","0","0","1","7","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","154","0","0","0","1","0","2","0","0","0","0","0","0","0","21","2","0","0","0","0","0","0","0"
"hsa-mir-518b","0","0","0","0","0","2","5","0","0","0","0","0","1","5","0","0","0","0","3","0","0","0","0","1","0","0","3","0","0","0","0","0","0","1","1","0","0","3","0","1","0","496","0","0","0","12","10","1","0","0","1","1","0","1","0","118","8","0","0","0","0","5","1","4"
"hsa-mir-518c","0","0","0","0","0","4","9","0","0","0","0","1","0","18","0","0","0","0","3","0","0","0","0","4","0","0","6","0","0","0","0","0","0","0","1","0","0","6","0","0","1","267","0","0","0","12","14","1","0","0","0","0","0","0","0","67","7","0","0","0","0","4","0","9"
"hsa-mir-518d","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
